n_users,max_time,sequence_lenght,n_sequences,sliding_split,remove_outliers,normalize,train_acc,train_TP,train_TN,train_FP,train_FN,train_FAR,train_FRR,train_F1,test_acc,test_TP,test_TN,test_FP,test_FN,test_FAR,test_FRR,test_F1
10,1.125,8,10,False,False,False,0.8328319764440512,5963.9,5301.5,1507.8,845.4,0.21602272793931507,0.11831331917258255,0.8425179445712727,0.6518242630260979,2721.0,2976.1,1436.6,1691.7,0.304313927712471,0.3920375462353333,0.6340471367730812
10,1.125,10,10,False,False,False,0.8358290731664375,5376.4,4782.9,1313.9,720.4,0.21379502823694868,0.1145468254301764,0.8456201237193948,0.6602880562251573,2396.7,2601.3,1223.4,1428.0,0.3002803459576631,0.37914354159202235,0.6462632913787473
10,1.125,12,10,False,False,False,0.8397753046135156,4697.2,4242.6,1073.6,619.0,0.2037871128322068,0.11666227794076185,0.848202902125332,0.6741186720759087,2025.8,2232.5,957.4,1164.1,0.2838613137271254,0.3679013421210572,0.660818380262175
10,1.125,14,10,False,False,False,0.8445016353463597,4106.1,3677.3,907.7,478.9,0.2041494277704671,0.1068473015368133,0.8537366241261017,0.6859097204127982,1729.4,1858.4,773.9,902.9,0.2832466132724955,0.3449339459019082,0.6778045244143459
10,1.125,16,10,False,False,False,0.8446867190989321,3566.7,3187.6,764.9,385.8,0.2069237092318356,0.10370285257030014,0.85462439736753,0.6947370900970589,1454.0,1550.3,615.6,711.9,0.27986407706839456,0.33066174273748794,0.6891155776009472
10,1.125,18,10,False,False,False,0.8495242152479896,3109.1,2804.9,617.9,313.7,0.19818014187752003,0.10277142762650075,0.8584759779276594,0.7032550627984542,1220.5,1330.2,475.5,585.2,0.26476550469737187,0.3287243697057197,0.695706392286163
10,1.125,20,10,False,False,False,0.8514357870680909,2765.9,2491.9,521.5,247.5,0.19918790643779113,0.0979405194260269,0.8607844222907651,0.7091890729228638,1056.0,1135.5,390.4,469.9,0.2631310181009736,0.3184908360532987,0.7026178182147562
10,1.125,22,10,False,False,False,0.8547475621550555,2474.7,2239.3,438.8,203.4,0.19632036175102982,0.09418451393885921,0.8641073291565334,0.7155614378774962,927.7,982.9,324.5,379.7,0.2619974732560868,0.3068796509889209,0.7098613417193917
10,1.125,24,10,False,False,False,0.8523293301436297,2244.7,2029.6,386.8,171.7,0.20239343770143953,0.09294790201130085,0.862584403741295,0.7125308775609686,820.4,860.6,278.9,319.1,0.2686940777321132,0.30624416714594976,0.7072127452329996
10,1.125,26,10,False,False,False,0.8569628771057595,2057.3,1864.0,335.5,142.2,0.19823956649574132,0.08783467929273955,0.8669868901163784,0.7183960725097773,737.2,765.1,235.6,263.5,0.2663320694967048,0.2968757854837406,0.7135778014536693
10,1.125,28,10,False,False,False,0.8556197312521837,1886.8,1724.0,287.4,124.6,0.19637929317227637,0.09238124432335629,0.865169727045455,0.7239638173536432,667.4,697.0,194.0,223.6,0.2569768723847075,0.29509549290800624,0.7166962096323549
10,1.125,30,10,False,False,False,0.8536542485275362,1747.4,1593.6,260.0,106.2,0.2017280354503334,0.09096346749459402,0.8641965316878506,0.7219735616846481,613.4,624.5,178.4,189.5,0.26336451413212636,0.29268836249857744,0.7147611115036795
10,1.125,32,10,False,False,False,0.8606752937885197,1623.2,1493.6,218.0,88.4,0.19158545709939626,0.08706395532356438,0.8700880086054704,0.7213872529044554,562.9,573.2,154.3,164.6,0.2597703928829066,0.29745510130818253,0.7104698821711264
10,1.125,34,10,False,False,False,0.8589760855296531,1511.2,1390.2,196.8,75.8,0.19881908568440962,0.08322874325628431,0.8694715585827248,0.7252734486404657,519.9,527.8,136.2,144.1,0.2493646215089181,0.30008848121015036,0.7100268102051518
